State	Year-Quarter	Average Price	Median Price
ID	2006.75	204587	170993
ID	2007.00	207133	173380
ID	2007.25	211752	177209
ID	2007.50	211727	177356
ID	2007.75	206191	172703
ID	2008.00	204568	171401
ID	2008.25	203671	171085
ID	2008.50	199564	167839
ID	2008.75	185918	156828
ID	2009.00	181609	153048
ID	2009.25	181880	153644
ID	2009.50	178427	151081
ID	2009.75	169770	144047
ID	2010.00	165859	140814
ID	2010.25	164999	140436
IL	2000.00	148385	125683
IL	2000.25	151809	128220
IL	2000.50	154238	129846
IL	2000.75	157115	131810
IL	2001.00	159089	133039
IL	2001.25	163152	136198
IL	2001.50	167063	139200
IL	2001.75	168980	140476
IL	2002.00	170590	141518
IL	2002.25	175812	145593
IL	2002.50	179276	148253
IL	2002.75	181808	150347
IL	2003.00	184219	152172
IL	2003.25	190102	156916
IL	2003.50	191520	158133
IL	2003.75	193155	159481
IL	2004.00	194877	160953
IL	2004.25	201476	166326
IL	2004.50	205205	169682
IL	2004.75	208394	172562
IL	2005.00	211358	175189
IL	2005.25	218032	180853
IL	2005.50	222414	184728
IL	2005.75	224735	186776
IL	2006.00	226754	188571
IL	2006.25	232631	193311
IL	2006.50	233709	194127
IL	2006.75	232688	193230
IL	2007.00	231909	192460
IL	2007.25	232514	192749
IL	2007.50	229609	190097
IL	2007.75	222784	184131
IL	2008.00	214326	176820
IL	2008.25	213371	175889
IL	2008.50	208863	171913
IL	2008.75	196957	161990
IL	2009.00	186253	153051
IL	2009.25	187169	153852
IL	2009.50	188043	154388
IL	2009.75	184528	151413
IL	2010.00	179035	146708
IL	2010.25	186308	152387
IN	2000.00	110365	98182
IN	2000.25	111306	98964
IN	2000.50	113228	100597
IN	2000.75	113510	100755
IN	2001.00	113705	100843
IN	2001.25	115371	102192
IN	2001.50	116438	103022
IN	2001.75	117339	103638
IN	2002.00	117397	103508
IN	2002.25	119344	105074
IN	2002.50	119881	105410
IN	2002.75	119750	105176
IN	2003.00	120159	105444
IN	2003.25	122318	107219
IN	2003.50	123266	107935
IN	2003.75	122985	107591
IN	2004.00	123049	107546
IN	2004.25	126322	110263
IN	2004.50	127117	110855
IN	2004.75	126815	110457
IN	2005.00	128469	111693
IN	2005.25	130229	113081
IN	2005.50	131593	114186
IN	2005.75	131690	114087
IN	2006.00	130945	113242
IN	2006.25	133635	115400
IN	2006.50	134254	115791
IN	2006.75	132565	114175
IN	2007.00	132091	113646
IN	2007.25	135333	116327
IN	2007.50	135664	116536
IN	2007.75	131045	112499
IN	2008.00	130181	111578
IN	2008.25	131363	112590
IN	2008.50	131352	112566
IN	2008.75	124535	106606
IN	2009.00	122732	104996
IN	2009.25	127973	109546
IN	2009.50	129454	110909
IN	2009.75	128615	110213
IN	2010.00	125649	107853
IN	2010.25	132068	113416
KS	2000.00	103182	91310
KS	2000.25	105363	93228
KS	2000.50	105780	93483
KS	2000.75	105914	93554
KS	2001.00	107009	94409
KS	2001.25	109385	96396
KS	2001.50	110738	97449
KS	2001.75	111966	98451
KS	2002.00	112479	99043
KS	2002.25	113551	99938
KS	2002.50	115665	101655
KS	2002.75	115318	101322
KS	2003.00	115975	101791
KS	2003.25	117777	103226
KS	2003.50	119457	104602
KS	2003.75	119305	104331
KS	2004.00	119792	104687
KS	2004.25	122788	107180
KS	2004.50	123007	107237
KS	2004.75	123580	107501
KS	2005.00	124791	108358
KS	2005.25	127593	110640
KS	2005.50	128962	111799
KS	2005.75	129077	111734
KS	2006.00	130030	112575
KS	2006.25	132506	114624
KS	2006.50	133787	115679
KS	2006.75	132956	114824
KS	2007.00	131837	113830
KS	2007.25	135696	117099
KS	2007.50	135953	117194
KS	2007.75	134429	115704
KS	2008.00	132028	113803
KS	2008.25	135315	116755
KS	2008.50	135497	117125
KS	2008.75	131203	113652
KS	2009.00	130804	113483
KS	2009.25	134807	117230
KS	2009.50	134170	116956
KS	2009.75	135360	118193
KS	2010.00	131809	115364
KS	2010.25	135301	118687
KY	2000.00	113973	99434
KY	2000.25	115401	100655
KY	2000.50	117136	102132
KY	2000.75	117657	102481
KY	2001.00	117673	102572
KY	2001.25	120089	104722
KY	2001.50	121036	105451
KY	2001.75	122954	107006
KY	2002.00	122624	106763
KY	2002.25	125501	109256
KY	2002.50	125538	109222
KY	2002.75	127298	110771
KY	2003.00	128084	111360
KY	2003.25	130676	113543
KY	2003.50	133287	115867
KY	2003.75	133859	116389
KY	2004.00	134399	116699
KY	2004.25	136974	118913
KY	2004.50	138087	120033
KY	2004.75	139317	121087
KY	2005.00	140122	121843
KY	2005.25	143217	124590
KY	2005.50	145392	126452
KY	2005.75	146157	127168
KY	2006.00	148004	128745
KY	2006.25	149493	129906
KY	2006.50	150401	130734
KY	2006.75	149364	129801
KY	2007.00	150625	130889
KY	2007.25	152950	132792
KY	2007.50	152020	131934
KY	2007.75	150688	130620
KY	2008.00	148173	128333
KY	2008.25	152032	131764
KY	2008.50	151610	131310
KY	2008.75	146652	126978
KY	2009.00	144246	124964
KY	2009.25	148854	128861
KY	2009.50	149317	129278
KY	2009.75	149963	129884
KY	2010.00	147204	127446
KY	2010.25	150614	130344
LA	2000.00	108563	94990
LA	2000.25	110829	96967
LA	2000.50	111289	97425
LA	2000.75	110972	97249
LA	2001.00	111809	97941
LA	2001.25	114350	100102
LA	2001.50	116260	101707
LA	2001.75	116615	101970
LA	2002.00	117143	102439
LA	2002.25	120221	105011
LA	2002.50	121772	106272
LA	2002.75	122937	107226
LA	2003.00	125227	109239
LA	2003.25	126252	110119
LA	2003.50	128495	112042
LA	2003.75	129779	113146
LA	2004.00	130034	113354
LA	2004.25	134774	117368
LA	2004.50	137317	119610
LA	2004.75	138701	120898
LA	2005.00	140068	122092
LA	2005.25	143832	125402
LA	2005.50	147632	128651
LA	2005.75	153948	134325
LA	2006.00	158657	138404
LA	2006.25	162794	142129
LA	2006.50	165905	144876
LA	2006.75	167948	146571
LA	2007.00	166915	146036
LA	2007.25	167096	146437
LA	2007.50	169056	148336
LA	2007.75	168112	147565
LA	2008.00	166123	145965
LA	2008.25	168787	148401
LA	2008.50	168827	148555
LA	2008.75	167340	147480
LA	2009.00	166331	146814
LA	2009.25	169342	149702
LA	2009.50	172329	152579
LA	2009.75	171068	151638
LA	2010.00	168639	149590
LA	2010.25	171584	152413
MA	2000.00	226623	189845
MA	2000.25	240047	200506
MA	2000.50	249733	208181
MA	2000.75	255172	212248
MA	2001.00	262724	218186
MA	2001.25	273693	227228
MA	2001.50	285041	236567
MA	2001.75	287803	238376
MA	2002.00	292156	242464
MA	2002.25	307940	255916
MA	2002.50	320216	266744
MA	2002.75	325486	271779
MA	2003.00	328269	274501
MA	2003.25	340907	285622
MA	2003.50	349028	292923
MA	2003.75	355024	298039
MA	2004.00	361061	303288
MA	2004.25	376472	316434
MA	2004.50	385977	324667
MA	2004.75	392826	330058
MA	2005.00	398781	336060
MA	2005.25	409939	345950
MA	2005.50	414510	350369
MA	2005.75	415122	350198
MA	2006.00	408929	345580
MA	2006.25	413461	349852
MA	2006.50	408389	345531
MA	2006.75	403171	340964
MA	2007.00	401369	338784
MA	2007.25	404164	339898
MA	2007.50	403930	338067
MA	2007.75	393535	328672
MA	2008.00	385753	320635
MA	2008.25	378583	314167
MA	2008.50	376200	311161
MA	2008.75	365576	301589
MA	2009.00	360368	296508
MA	2009.25	363675	299376
MA	2009.50	367131	302592
MA	2009.75	363974	300200
MA	2010.00	354819	290948
MA	2010.25	373062	306363
MD	2000.00	183200	142113
MD	2000.25	187442	145332
MD	2000.50	192438	148989
MD	2000.75	196364	151146
MD	2001.00	196849	151397
MD	2001.25	206141	158170
MD	2001.50	213238	163463
MD	2001.75	216913	166212
MD	2002.00	220961	168938
MD	2002.25	231398	176726
MD	2002.50	238459	186460
MD	2002.75	238111	191134
MD	2003.00	243511	195208
MD	2003.25	252122	205024
MD	2003.50	264713	215441
MD	2003.75	265797	218954
MD	2004.00	271939	226230
MD	2004.25	290272	241482
MD	2004.50	306731	256593
MD	2004.75	313619	263831
MD	2005.00	325255	273828
MD	2005.25	347625	293568
MD	2005.50	367411	311039
MD	2005.75	373935	318761
MD	2006.00	380410	325092
MD	2006.25	390526	334284
MD	2006.50	393201	336999
MD	2006.75	391403	335980
MD	2007.00	388241	334342
MD	2007.25	384169	331534
MD	2007.50	376688	325658
MD	2007.75	364281	315308
MD	2008.00	352683	305896
MD	2008.25	341573	296867
MD	2008.50	330781	287749
MD	2008.75	315256	274704
MD	2009.00	304938	265873
MD	2009.25	299488	262176
MD	2009.50	299612	262441
MD	2009.75	295253	258517
MD	2010.00	287999	252731
MD	2010.25	292254	256411
ME	2000.00	122926	103883
ME	2000.25	128860	108793
ME	2000.50	130371	110981
ME	2000.75	132581	112664
ME	2001.00	134972	114428
ME	2001.25	139949	118394
ME	2001.50	145117	122511
ME	2001.75	146250	123072
ME	2002.00	152108	127762
ME	2002.25	157513	132308
ME	2002.50	163459	137101
ME	2002.75	167343	140125
ME	2003.00	171957	143720
ME	2003.25	175107	146060
ME	2003.50	179680	149743
ME	2003.75	186718	156158
ME	2004.00	185112	154913
ME	2004.25	194709	163054
ME	2004.50	201955	168974
ME	2004.75	204966	171279
ME	2005.00	209646	175765
ME	2005.25	215712	180771
ME	2005.50	220089	184535
ME	2005.75	222289	186615
ME	2006.00	219193	184404
ME	2006.25	224863	189461
ME	2006.50	223069	187870
ME	2006.75	220134	185903
ME	2007.00	222206	187547
ME	2007.25	222467	187892
ME	2007.50	218046	184459
ME	2007.75	218583	185206
ME	2008.00	216221	183169
ME	2008.25	215259	182774
ME	2008.50	213276	181438
ME	2008.75	205299	174283
ME	2009.00	209457	176719
ME	2009.25	213568	179611
ME	2009.50	205754	172730
ME	2009.75	209403	175688
ME	2010.00	206716	172800
ME	2010.25	209697	175175
MI	2000.00	137293	119927
MI	2000.25	140802	123049
MI	2000.50	143392	125355
MI	2000.75	143993	125958
MI	2001.00	145389	127182
MI	2001.25	147888	129370
MI	2001.50	150004	131192
MI	2001.75	151009	132006
MI	2002.00	151119	132084
MI	2002.25	154095	134693
MI	2002.50	155765	136115
MI	2002.75	156279	136494
MI	2003.00	156545	136678
MI	2003.25	158532	138388
MI	2003.50	160344	139917
MI	2003.75	159803	139378
MI	2004.00	159162	138893
MI	2004.25	161362	140660
MI	2004.50	162180	141393
MI	2004.75	162764	141880
MI	2005.00	162292	141405
MI	2005.25	165186	143805
MI	2005.50	166158	144506
MI	2005.75	165447	143635
MI	2006.00	162515	140944
MI	2006.25	162382	140544
MI	2006.50	160987	139081
MI	2006.75	156545	135104
MI	2007.00	153422	132180
MI	2007.25	151012	129891
MI	2007.50	146482	125821
