survived,pclass,sex,age,sibsp,parch,fare,embarked
0,1st,male,NA,0,0,26.5499992,Southampton
1,1st,male,50,2,0,133.649994,Southampton
1,1st,male,43,1,0,27.7208004,Cherbourg
1,1st,female,NA,1,0,133.649994,Southampton
1,1st,female,22,0,2,49.5,Cherbourg
1,1st,male,60,1,1,79.1999969,Cherbourg
1,1st,female,48,1,1,79.1999969,Cherbourg
0,1st,male,NA,0,0,0,Southampton
0,1st,male,37,1,0,53.0999985,Southampton
1,1st,female,35,1,0,53.0999985,Southampton
0,1st,male,47,0,0,38.5,Southampton
1,1st,female,35,0,0,211.5,Cherbourg
1,1st,female,22,0,1,59.4000015,Cherbourg
1,1st,female,45,0,1,59.4000015,Cherbourg
0,1st,male,24,0,0,79.1999969,Cherbourg
1,1st,male,49,1,0,89.1042023,Cherbourg
1,1st,female,NA,1,0,89.1042023,Cherbourg
0,1st,male,71,0,0,34.6542015,Cherbourg
1,1st,male,53,0,0,28.5,Cherbourg
1,1st,female,19,0,0,30,Southampton
0,1st,male,38,0,1,153.462494,Southampton
1,1st,female,58,0,1,153.462494,Southampton
1,1st,male,23,0,1,63.3582993,Cherbourg
1,1st,female,45,0,1,63.3582993,Cherbourg
0,1st,male,46,0,0,79.1999969,Cherbourg
1,1st,male,25,1,0,55.4417,Cherbourg
1,1st,female,25,1,0,55.4417,Cherbourg
1,1st,male,48,1,0,76.7292023,Cherbourg
1,1st,female,49,1,0,76.7292023,Cherbourg
0,1st,male,NA,0,0,42.4000015,Southampton
0,1st,male,45,1,0,83.4749985,Southampton
1,1st,female,35,1,0,83.4749985,Southampton
0,1st,male,40,0,0,0,Southampton
1,1st,male,27,0,0,76.7292023,Cherbourg
1,1st,male,NA,0,0,30,Southampton
1,1st,female,24,0,0,83.1583023,Cherbourg
0,1st,male,55,1,1,93.5,Southampton
1,1st,female,52,1,1,93.5,Southampton
0,1st,male,42,0,0,42.5,Southampton
0,1st,male,NA,0,0,51.8624992,Southampton
0,1st,male,55,0,0,50,Southampton
1,1st,female,16,0,1,57.9791985,Cherbourg
1,1st,female,44,0,1,57.9791985,Cherbourg
1,1st,female,51,1,0,77.9582977,Southampton
0,1st,male,42,1,0,52,Southampton
1,1st,female,35,1,0,52,Southampton
1,1st,male,35,0,0,26.5499992,Cherbourg
1,1st,male,38,1,0,90,Southampton
0,1st,male,NA,0,0,30.6958008,Cherbourg
1,1st,female,35,1,0,90,Southampton
1,1st,female,38,0,0,80,NA
0,1st,female,50,0,0,28.7124996,Cherbourg
1,1st,male,49,0,0,0,Southampton
0,1st,male,46,0,0,26,Southampton
0,1st,male,50,0,0,26,Southampton
0,1st,male,32.5,0,0,211.5,Cherbourg
0,1st,male,58,0,0,29.7000008,Cherbourg
0,1st,male,41,1,0,51.8624992,Southampton
1,1st,female,NA,1,0,51.8624992,Southampton
1,1st,male,42,1,0,52.5541992,Southampton
1,1st,female,45,1,0,52.5541992,Southampton
0,1st,male,NA,0,0,26.5499992,Southampton
1,1st,female,39,0,0,211.337494,Southampton
1,1st,female,49,0,0,25.9291992,Southampton
1,1st,female,30,0,0,106.425003,Cherbourg
1,1st,male,35,0,0,512.329224,Cherbourg
0,1st,male,NA,0,0,27.7208004,Cherbourg
0,1st,male,42,0,0,26.5499992,Southampton
1,1st,female,55,0,0,27.7208004,Cherbourg
1,1st,female,16,0,1,39.4000015,Southampton
1,1st,female,51,0,1,39.4000015,Southampton
0,1st,male,29,0,0,30,Southampton
1,1st,female,21,0,0,77.9582977,Southampton
0,1st,male,30,0,0,45.5,Southampton
1,1st,female,58,0,0,146.520798,Cherbourg
1,1st,female,15,0,1,211.337494,Southampton
0,1st,male,30,0,0,26,Southampton
1,1st,female,16,0,0,86.5,Southampton
1,1st,male,NA,0,0,29.7000008,Cherbourg
0,1st,male,19,1,0,53.0999985,Southampton
1,1st,female,18,1,0,53.0999985,Southampton
1,1st,female,24,0,0,49.5042,Cherbourg
0,1st,male,46,0,0,75.2416992,Cherbourg
0,1st,male,54,0,0,51.8624992,Southampton
1,1st,male,36,0,0,26.2875004,Southampton
0,1st,male,28,1,0,82.1707993,Cherbourg
1,1st,female,NA,1,0,82.1707993,Cherbourg
0,1st,male,65,0,0,26.5499992,Southampton
0,1st,male,44,2,0,90,Queenstown
1,1st,female,33,1,0,90,Queenstown
1,1st,female,37,1,0,90,Queenstown
1,1st,male,30,1,0,57.75,Cherbourg
0,1st,male,55,0,0,30.5,Southampton
0,1st,male,47,0,0,42.4000015,Southampton
0,1st,male,37,0,1,29.7000008,Cherbourg
1,1st,female,31,1,0,113.275002,Cherbourg
1,1st,female,23,1,0,113.275002,Cherbourg
0,1st,male,58,0,2,113.275002,Cherbourg
1,1st,female,19,0,2,26.2833004,Southampton
0,1st,male,64,0,0,26,Southampton
1,1st,female,39,0,0,108.900002,Cherbourg
1,1st,male,NA,0,0,25.7416992,Cherbourg
1,1st,female,22,0,1,61.9791985,Cherbourg
0,1st,male,65,0,1,61.9791985,Cherbourg
0,1st,male,28.5,0,0,27.7208004,Cherbourg
0,1st,male,NA,0,0,0,Southampton
0,1st,male,45.5,0,0,28.5,Southampton
0,1st,male,23,0,0,93.5,Southampton
0,1st,male,29,1,0,66.5999985,Southampton
1,1st,female,22,1,0,66.5999985,Southampton
0,1st,male,18,1,0,108.900002,Cherbourg
1,1st,female,17,1,0,108.900002,Cherbourg
1,1st,female,30,0,0,93.5,Southampton
1,1st,male,52,0,0,30.5,Southampton
0,1st,male,47,0,0,52,Southampton
1,1st,female,56,0,1,83.1583023,Cherbourg
0,1st,male,38,0,0,0,Southampton
1,1st,male,NA,0,0,39.5999985,Southampton
0,1st,male,22,0,0,135.633301,Cherbourg
0,1st,male,NA,0,0,227.524994,Cherbourg
1,1st,female,43,0,1,211.337494,Southampton
0,1st,male,31,0,0,50.4958,Southampton
1,1st,male,45,0,0,26.5499992,Southampton
0,1st,male,NA,0,0,50,Southampton
1,1st,female,33,0,0,27.7208004,Cherbourg
0,1st,male,46,0,0,79.1999969,Cherbourg
0,1st,male,36,0,0,40.125,Cherbourg
1,1st,female,33,0,0,86.5,Southampton
0,1st,male,55,1,0,59.4000015,Cherbourg
1,1st,female,54,1,0,59.4000015,Cherbourg
0,1st,male,33,0,0,26.5499992,Southampton
1,1st,male,13,2,2,262.375,Cherbourg
1,1st,female,18,2,2,262.375,Cherbourg
1,1st,female,21,2,2,262.375,Cherbourg
0,1st,male,61,1,3,262.375,Cherbourg
1,1st,female,48,1,3,262.375,Cherbourg
1,1st,male,NA,0,0,30.5,Southampton
1,1st,female,24,0,0,69.3000031,Cherbourg
1,1st,male,NA,0,0,26,Southampton
1,1st,female,35,1,0,57.75,Cherbourg
1,1st,female,30,0,0,31,Cherbourg
1,1st,male,34,0,0,26.5499992,Southampton
1,1st,female,40,0,0,153.462494,Southampton
1,1st,male,35,0,0,26.2875004,Southampton
0,1st,male,50,1,0,55.9000015,Southampton
1,1st,female,39,1,0,55.9000015,Southampton
1,1st,male,56,0,0,35.5,Cherbourg
1,1st,male,28,0,0,35.5,Southampton
0,1st,male,56,0,0,26.5499992,Southampton
0,1st,male,56,0,0,30.6958008,Cherbourg
0,1st,male,24,1,0,60,Southampton
0,1st,male,NA,0,0,26,Southampton
1,1st,female,18,1,0,60,Southampton
1,1st,male,24,1,0,82.2667007,Southampton
1,1st,female,23,1,0,82.2667007,Southampton
1,1st,male,6,0,2,134.5,Cherbourg
1,1st,male,45,1,1,134.5,Cherbourg
1,1st,female,40,1,1,134.5,Cherbourg
0,1st,male,57,1,0,146.520798,Cherbourg
1,1st,female,NA,1,0,146.520798,Cherbourg
1,1st,male,32,0,0,30.5,Cherbourg
0,1st,male,62,0,0,26.5499992,Southampton
1,1st,male,54,1,0,55.4417,Cherbourg
1,1st,female,43,1,0,55.4417,Cherbourg
1,1st,female,52,1,0,78.2667007,Cherbourg
0,1st,male,NA,0,0,27.7208004,Cherbourg
1,1st,female,62,0,0,80,NA
0,1st,male,67,1,0,221.779205,Southampton
0,1st,female,63,1,0,221.779205,Southampton
0,1st,male,61,0,0,32.3208008,Southampton
1,1st,female,48,0,0,25.9291992,Southampton
1,1st,female,18,0,2,79.6500015,Southampton
0,1st,male,52,1,1,79.6500015,Southampton
1,1st,female,39,1,1,79.6500015,Southampton
1,1st,male,48,1,0,52,Southampton
1,1st,female,NA,1,0,52,Southampton
0,1st,male,49,1,1,110.883301,Cherbourg
1,1st,male,17,0,2,110.883301,Cherbourg
1,1st,female,39,1,1,110.883301,Cherbourg
1,1st,female,NA,0,0,79.1999969,Cherbourg
1,1st,male,31,0,0,28.5375004,Cherbourg
0,1st,male,40,0,0,27.7208004,Cherbourg
0,1st,male,61,0,0,33.5,Southampton
0,1st,male,47,0,0,34.0208015,Southampton
1,1st,female,35,0,0,512.329224,Cherbourg
0,1st,male,64,1,0,75.25,Cherbourg
1,1st,female,60,1,0,75.25,Cherbourg
0,1st,male,60,0,0,26.5499992,Southampton
0,1st,male,54,0,1,77.2874985,Southampton
0,1st,male,21,0,1,77.2874985,Southampton
1,1st,female,55,0,0,135.633301,Cherbourg
1,1st,female,31,0,2,164.866699,Southampton
0,1st,male,57,1,1,164.866699,Southampton
1,1st,female,45,1,1,164.866699,Southampton
0,1st,male,50,1,1,211.5,Cherbourg
0,1st,male,27,0,2,211.5,Cherbourg
1,1st,female,50,1,1,211.5,Cherbourg
1,1st,female,21,0,0,26.5499992,Southampton
0,1st,male,51,0,1,61.3792,Cherbourg
1,1st,male,21,0,1,61.3792,Cherbourg
0,1st,male,NA,0,0,35,Southampton
1,1st,female,31,0,0,134.5,Cherbourg
1,1st,male,NA,0,0,35.5,Southampton
0,1st,male,62,0,0,26.5499992,Southampton
1,1st,female,36,0,0,135.633301,Cherbourg
0,2nd,male,30,1,0,24,Cherbourg
1,2nd,female,28,1,0,24,Cherbourg
0,2nd,male,30,0,0,13,Southampton
0,2nd,male,18,0,0,11.5,Southampton
0,2nd,male,25,0,0,10.5,Southampton
0,2nd,male,34,1,0,26,Southampton
1,2nd,female,36,1,0,26,Southampton
0,2nd,male,57,0,0,13,Southampton
0,2nd,male,18,0,0,11.5,Southampton
0,2nd,male,23,0,0,10.5,Southampton
1,2nd,female,36,0,0,13,Southampton
0,2nd,male,28,0,0,10.5,Southampton
0,2nd,male,51,0,0,12.5249996,Southampton
1,2nd,male,32,1,0,26,Southampton
1,2nd,female,19,1,0,26,Southampton
0,2nd,male,28,0,0,26,Southampton
1,2nd,male,1,2,1,39,Southampton
1,2nd,female,4,2,1,39,Southampton
1,2nd,female,12,2,1,39,Southampton
1,2nd,female,36,0,3,39,Southampton
1,2nd,male,34,0,0,13,Southampton
1,2nd,female,19,0,0,13,Southampton
0,2nd,male,23,0,0,13,Southampton
0,2nd,male,26,0,0,13,Southampton
0,2nd,male,42,0,0,13,Southampton
0,2nd,male,27,0,0,13,Southampton
1,2nd,female,24,0,0,13,Southampton
1,2nd,female,15,0,2,39,Southampton
0,2nd,male,60,1,1,39,Southampton
1,2nd,female,40,1,1,39,Southampton
1,2nd,female,20,1,0,26,Southampton
0,2nd,male,25,1,0,26,Southampton
1,2nd,female,36,0,0,13,Southampton
0,2nd,male,25,0,0,13,Southampton
0,2nd,male,42,0,0,13,Southampton
1,2nd,female,42,0,0,13,Southampton
1,2nd,male,0.833299994,0,2,29,Southampton
1,2nd,male,26,1,1,29,Southampton
1,2nd,female,22,1,1,29,Southampton
1,2nd,female,35,0,0,21,Southampton
0,2nd,male,NA,0,0,0,Southampton
0,2nd,male,19,0,0,13,Southampton
0,2nd,female,44,1,0,26,Southampton
0,2nd,male,54,1,0,26,Southampton
0,2nd,male,52,0,0,13.5,Southampton
0,2nd,male,37,1,0,26,Southampton
0,2nd,female,29,1,0,26,Southampton
1,2nd,female,25,1,1,30,Southampton
1,2nd,female,45,0,2,30,Southampton
0,2nd,male,29,1,0,26,Southampton
1,2nd,female,28,1,0,26,Southampton
0,2nd,male,29,0,0,10.5,Southampton
0,2nd,male,28,0,0,13,Southampton
1,2nd,male,24,0,0,10.5,Southampton
1,2nd,female,8,0,2,26.25,Southampton
0,2nd,male,31,1,1,26.25,Southampton
1,2nd,female,31,1,1,26.25,Southampton
1,2nd,female,22,0,0,10.5,Southampton
0,2nd,female,30,0,0,13,Southampton
0,2nd,female,NA,0,0,21,Southampton
0,2nd,male,21,0,0,11.5,Southampton
0,2nd,male,NA,0,0,0,Southampton
1,2nd,male,8,1,1,36.75,Southampton
0,2nd,male,18,0,0,73.5,Southampton
1,2nd,female,48,0,2,36.75,Southampton
1,2nd,female,28,0,0,13,Southampton
0,2nd,male,32,0,0,13,Southampton
0,2nd,male,17,0,0,73.5,Southampton
0,2nd,male,29,1,0,27.7208004,Cherbourg
1,2nd,female,24,1,0,27.7208004,Cherbourg
0,2nd,male,25,0,0,31.5,Southampton
0,2nd,male,18,0,0,73.5,Southampton
1,2nd,female,18,0,1,23,Southampton
1,2nd,female,34,0,1,23,Southampton
0,2nd,male,54,0,0,26,Southampton
1,2nd,male,8,0,2,32.5,Southampton
0,2nd,male,42,1,1,32.5,Southampton
1,2nd,female,34,1,1,32.5,Southampton
1,2nd,female,27,1,0,13.8583002,Cherbourg
1,2nd,female,30,1,0,13.8583002,Cherbourg
0,2nd,male,23,0,0,13,Southampton
0,2nd,male,21,0,0,13,Southampton
0,2nd,male,18,0,0,13,Southampton
0,2nd,male,40,1,0,26,Southampton
1,2nd,female,29,1,0,26,Southampton
0,2nd,male,18,0,0,10.5,Southampton
0,2nd,male,36,0,0,13,Southampton
0,2nd,male,NA,0,0,0,Southampton
0,2nd,female,38,0,0,13,Southampton
0,2nd,male,35,0,0,26,Southampton
0,2nd,male,38,1,0,21,Southampton
0,2nd,male,34,1,0,21,Southampton
1,2nd,female,34,0,0,13,Southampton
0,2nd,male,16,0,0,26,Southampton
0,2nd,male,26,0,0,10.5,Southampton
0,2nd,male,47,0,0,10.5,Southampton
0,2nd,male,21,1,0,11.5,Southampton
0,2nd,male,21,1,0,11.5,Southampton
0,2nd,male,24,0,0,13.5,Southampton
0,2nd,male,24,0,0,13,Southampton
0,2nd,male,34,0,0,13,Southampton
0,2nd,male,30,0,0,13,Southampton
0,2nd,male,52,0,0,13,Southampton
0,2nd,male,30,0,0,13,Southampton
1,2nd,male,0.666700006,1,1,14.5,Southampton
1,2nd,female,24,0,2,14.5,Southampton
0,2nd,male,44,0,0,13,Southampton
1,2nd,female,6,0,1,33,Southampton
0,2nd,male,28,0,1,33,Southampton
1,2nd,male,62,0,0,10.5,Southampton
0,2nd,male,30,0,0,10.5,Southampton
1,2nd,female,7,0,2,26.25,Southampton
0,2nd,male,43,1,1,26.25,Southampton
1,2nd,female,45,1,1,26.25,Southampton
1,2nd,female,24,1,2,65,Southampton
1,2nd,female,24,1,2,65,Southampton
0,2nd,male,49,1,2,65,Southampton
1,2nd,female,48,1,2,65,Southampton
1,2nd,female,55,0,0,16,Southampton
0,2nd,male,24,2,0,73.5,Southampton
0,2nd,male,32,2,0,73.5,Southampton
0,2nd,male,21,2,0,73.5,Southampton
0,2nd,female,18,1,1,13,Southampton
1,2nd,female,20,2,1,23,Southampton
0,2nd,male,23,2,1,11.5,Southampton
0,2nd,male,36,0,0,13,Southampton
1,2nd,female,54,1,3,23,Southampton
0,2nd,male,50,0,0,13,Southampton
0,2nd,male,44,1,0,26,Southampton
1,2nd,female,29,1,0,26,Southampton
0,2nd,male,21,0,0,73.5,Southampton
1,2nd,male,42,0,0,13,Southampton
0,2nd,male,63,1,0,26,Southampton
0,2nd,female,60,1,0,26,Southampton
0,2nd,male,33,0,0,12.2749996,Southampton
1,2nd,female,17,0,0,10.5,Southampton
0,2nd,male,42,1,0,27,Southampton
1,2nd,female,24,2,1,27,Southampton
0,2nd,male,47,0,0,15,Southampton
0,2nd,male,24,2,0,31.5,Southampton
0,2nd,male,22,2,0,31.5,Southampton
0,2nd,male,32,0,0,10.5,Southampton
1,2nd,female,23,0,0,13.7917004,Cherbourg
0,2nd,male,34,1,0,26,Southampton
1,2nd,female,24,1,0,26,Southampton
0,2nd,female,22,0,0,21,Southampton
1,2nd,female,NA,0,0,12.3500004,Queenstown
0,2nd,male,35,0,0,12.3500004,Queenstown
1,2nd,female,45,0,0,13.5,Southampton
0,2nd,male,57,0,0,12.3500004,Queenstown
0,2nd,male,NA,0,0,0,Southampton
0,2nd,male,31,0,0,10.5,Southampton
0,2nd,female,26,1,1,26,Southampton
0,2nd,male,30,1,1,26,Southampton
0,2nd,male,NA,0,0,10.7082996,Queenstown
1,2nd,female,1,1,2,41.5792007,Cherbourg
1,2nd,female,3,1,2,41.5792007,Cherbourg
0,2nd,male,25,1,2,41.5792007,Cherbourg
1,2nd,female,22,1,2,41.5792007,Cherbourg
1,2nd,female,17,0,0,12,Cherbourg
1,2nd,female,NA,0,0,33,Southampton
1,2nd,female,34,0,0,10.5,Southampton
0,2nd,male,36,0,0,12.875,Cherbourg
0,2nd,male,24,0,0,10.5,Southampton
0,2nd,male,61,0,0,12.3500004,Queenstown
0,2nd,male,50,1,0,26,Southampton
1,2nd,female,42,1,0,26,Southampton
0,2nd,female,57,0,0,10.5,Southampton
0,2nd,male,NA,0,0,15.0458002,Cherbourg
1,2nd,male,1,0,2,37.0042,Cherbourg
0,2nd,male,31,1,1,37.0042,Cherbourg
1,2nd,female,24,1,1,37.0042,Cherbourg
0,2nd,male,NA,0,0,15.5791998,Cherbourg
0,2nd,male,30,0,0,13,Southampton
0,2nd,male,40,0,0,16,Southampton
0,2nd,male,32,0,0,13.5,Southampton
0,2nd,male,30,0,0,13,Southampton
0,2nd,male,46,0,0,26,Southampton
1,2nd,female,13,0,1,19.5,Southampton
1,2nd,female,41,0,1,19.5,Southampton
1,2nd,male,19,0,0,10.5,Southampton
0,2nd,male,39,0,0,13,Southampton
0,2nd,male,48,0,0,13,Southampton
0,2nd,male,70,0,0,10.5,Southampton
0,2nd,male,27,0,0,13,Southampton
0,2nd,male,54,0,0,14,Southampton
0,2nd,male,39,0,0,26,Southampton
0,2nd,male,16,0,0,10.5,Southampton
0,2nd,male,62,0,0,9.6875,Queenstown
0,2nd,male,32.5,1,0,30.0708008,Cherbourg
1,2nd,female,14,1,0,30.0708008,Cherbourg
1,2nd,male,2,1,1,26,Southampton
1,2nd,male,3,1,1,26,Southampton
0,2nd,male,36.5,0,2,26,Southampton
0,2nd,male,26,0,0,13,Southampton
0,2nd,male,19,1,1,36.75,Southampton
0,2nd,male,28,0,0,13.5,Southampton
1,2nd,male,20,0,0,13.8625002,Cherbourg
1,2nd,female,29,0,0,10.5,Southampton
0,2nd,male,39,0,0,13,Southampton
1,2nd,male,22,0,0,10.5,Southampton
1,2nd,male,NA,0,0,13.8625002,Cherbourg
0,2nd,male,23,0,0,10.5,Southampton
1,2nd,male,29,0,0,13.8583002,Cherbourg
0,2nd,male,28,0,0,10.5,Southampton
0,2nd,male,NA,0,0,0,Southampton
1,2nd,female,50,0,1,26,Southampton
0,2nd,male,19,0,0,10.5,Southampton
0,2nd,male,NA,0,0,15.0500002,Cherbourg
0,2nd,male,41,0,0,13,Southampton
1,2nd,female,21,0,1,21,Southampton
1,2nd,female,19,0,0,26,Southampton
0,2nd,male,43,0,1,21,Southampton
1,2nd,female,32,0,0,13,Southampton
0,2nd,male,34,0,0,13,Southampton
1,2nd,male,30,0,0,12.7375002,Cherbourg
0,2nd,male,27,0,0,15.0333004,Cherbourg
1,2nd,female,2,1,1,26,Southampton
1,2nd,female,8,1,1,26,Southampton
1,2nd,female,33,0,2,26,Southampton
0,2nd,male,36,0,0,10.5,Southampton
0,2nd,male,34,1,0,21,Southampton
1,2nd,female,30,3,0,21,Southampton
1,2nd,female,28,0,0,13,Southampton
0,2nd,male,23,0,0,15.0458002,Cherbourg
1,2nd,male,0.833299994,1,1,18.75,Southampton
1,2nd,male,3,1,1,18.75,Southampton
1,2nd,female,24,2,3,18.75,Southampton
1,2nd,female,50,0,0,10.5,Southampton
0,2nd,male,19,0,0,10.5,Southampton
1,2nd,female,21,0,0,10.5,Southampton
0,2nd,male,26,0,0,13,Southampton
0,2nd,male,25,0,0,13,Southampton
0,2nd,male,27,0,0,26,Southampton
1,2nd,female,25,0,1,26,Southampton
1,2nd,female,18,0,2,13,Southampton
1,2nd,female,20,0,0,36.75,Southampton
1,2nd,female,30,0,0,13,Southampton
0,2nd,male,59,0,0,13.5,Southampton
1,2nd,female,30,0,0,12.3500004,Queenstown
0,2nd,male,35,0,0,10.5,Southampton
1,2nd,female,40,0,0,13,Southampton
0,2nd,male,25,0,0,13,Southampton
0,2nd,male,41,0,0,15.0458002,Cherbourg
0,2nd,male,25,0,0,10.5,Southampton
0,2nd,male,18.5,0,0,13,Southampton
0,2nd,male,14,0,0,65,Southampton
1,2nd,female,50,0,0,10.5,Southampton
0,2nd,male,23,0,0,13,Southampton
1,2nd,female,28,0,0,12.6499996,Southampton
1,2nd,female,27,0,0,10.5,Southampton
0,2nd,male,29,1,0,21,Southampton
0,2nd,female,27,1,0,21,Southampton
0,2nd,male,40,0,0,13,Southampton
1,2nd,female,31,0,0,21,Southampton
0,2nd,male,30,1,0,21,Southampton
0,2nd,male,23,1,0,10.5,Southampton
1,2nd,female,31,0,0,21,Southampton
0,2nd,male,NA,0,0,0,Southampton
1,2nd,female,12,0,0,15.75,Southampton
1,2nd,female,40,0,0,15.75,Southampton
1,2nd,female,32.5,0,0,13,Southampton
0,2nd,male,27,1,0,26,Southampton
1,2nd,female,29,1,0,26,Southampton
1,2nd,male,2,1,1,23,Southampton
1,2nd,female,4,1,1,23,Southampton
1,2nd,female,29,0,2,23,Southampton
1,2nd,female,0.916700006,1,2,27.75,Southampton
1,2nd,female,5,1,2,27.75,Southampton
0,2nd,male,36,1,2,27.75,Southampton
1,2nd,female,33,1,2,27.75,Southampton
0,2nd,male,66,0,0,10.5,Southampton
0,2nd,male,NA,0,0,12.875,Southampton
1,2nd,male,31,0,0,13,Southampton
1,2nd,male,NA,0,0,13,Southampton
1,2nd,female,26,0,0,13.5,Southampton
0,2nd,female,24,0,0,13,Southampton
0,3rd,male,42,0,0,7.55000019,Southampton
0,3rd,male,13,0,2,20.25,Southampton
0,3rd,male,16,1,1,20.25,Southampton
1,3rd,female,35,1,1,20.25,Southampton
1,3rd,female,16,0,0,7.6500001,Southampton
1,3rd,male,25,0,0,7.6500001,Southampton
