	1. Crop Production	2. Animal Production	3. Forestry and Logging	"4. Fishing, Hunting, and Trapping"	5. Mining	6. Electric Utilities	7. Gas Utilities	8. Other Utilities	9. Construction	"10. Food, Beverage and Tobacco Manufacturing"	11. Textiles and Apparel Mills	12. Wood Product Manufacturing	13. Paper Manufacturing	14. Printing and Related Activities	15. Petroleum and Coal Products Manufacturing	16. Chemical Manufacturing	17. Nonmetallic Mineral Products Manufacturing	18. Primary Metal Manufacturing	19. Fabricated Metals Manufacturing	20. Machinery Manufacturing	21. Computer and Electronic Product Manufacturing	22. Electrical Equipment Manufacturing	23. Aircraft and Parts Manufacturing	24. Ship and Boat Building 	25. Other Transportation Equipment Manufacturing	26. Furniture Product Manufacturing	27. Other Manufacturing	28. Wholesale	29. Retail	30. Air Transportation	31. Water Transportation	32. Truck Transportation	33. Other Transportation/Postal Offices	"34. Support Activities for Storage, Transportation and Warehousing "	35. Software Publishers & Internet Service Providers	36. Telecommunications	37. Other Information	38. Credit Intermediation and Related Activities	39. Other Finance and Insurance	40. Real Estate and Rental and Leasing	41. Legal /Accounting and Bookkeeping /Management Services	"42.  Architectural, Engineering, and Computing Services"	43. Educational Services	44. Ambulatory Health Care Services	45. Hospitals	"46. Nursing and Residential Care Facilities, Social Assistance"	"47. Arts, Recreation, and Accommodation"	48. Food Services and Drinking Places	49. Administrative/Employment Support Services	"50. Waste Management/Other, and Agriculture Services"	TOTAL OUTPUT
11. Textiles and Apparel Mills	0.6	0		0.5	0	0	0		3.7	0.6	11.1	1.8	2.8	0.8	0.3	0	0.3	0	0	0.2	0	0	4.4	1	2.9	2.3	3.2	2.3	5.5	0	0.5	0	0.1	0	0	0.2	0.1	0	0	0.2	0.1	0.4	0.2	0	0.9	0.6	0.8	0.5	0.3	6	698
12. Wood Product Manufacturing	11.5	0.5	3.4	6.5	0.1	0	1.9	0	350	4.5	0.5	626.7	464	0	0.1	2.1	6.6	2.1	1.4	3.8	3	1.2	2.9	7.2	17.7	67.1	18.4	20	19.3	0	0	2	22.6	0.9	32.4	7.5	9.8	0.5	0.1	31.4	0.2	4.3	0.7	1.9	1	7.3	4.4	31.9	2.5	9.5	4122.1
13. Paper Manufacturing	3.4	0.2	0.2	0	0.6	1.1	0.1	0.3	26.8	140.9	1.4	5.7	360.7	61.9	5.6	14.8	11.7	2.8	5.2	4.2	9.1	3.8	1.3	1.8	7.3	4.4	23.4	24.6	19.2	1.6	0.2	1.5	3.5	2.3	8	4.4	29.2	4.1	1	2.8	6.2	4.4	1.4	8.1	13.3	9.3	10.3	24.8	4.8	13.6	5113
14. Printing and Related Activities	0.5	0.2	0.3	0	0	0.2	0.1	0	1.2	3.9	0.9	0.7	0	19	1.3	3.3	0	0	0	0.2	0	0.1	11.6	0	0	0	0	61	69	0	0	1.3	1.9	1.1	41.6	6.1	182.4	14.6	66.8	2.3	42.1	22.4	14.6	13	9.8	9.6	15.3	12.3	18.3	70.9	1258.8
15. Petroleum and Coal Products Manufacturing	125.1	21.6	5.3	65.1	3.7	74.1	0.8	3.3	575.4	16	0.5	8.7	20.9	2.5	188.5	109.3	4.2	3.3	3.2	3.1	3.4	2.4	0	0.3	1.3	0.8	7.6	61.4	39.7	347.4	0	149.9	244.5	16.8	9.5	17.4	2.8	6	2.4	4	5.8	17.8	1.9	4.5	3.7	7.7	8.9	19.2	125.3	34.1	7938.7
16. Chemical Manufacturing	48.6	2.9	0.2	0.3	1.2	0.1	0.3	0.3	38.8	16.4	13.3	9.2	37.8	6.5	20.7	199.9	7.6	1.8	9.4	3.2	17.5	4.2	33.7	3.8	9.1	2.7	79.4	5.5	4.5	0	0.1	0.8	1.1	2.1	4.1	1.5	3	0.6	0.4	2.6	8.1	6.6	2.3	82.4	42.9	7.4	1.4	1.9	3.4	32.1	5080.9
17. Nonmetallic Mineral Products Manufacturing	0.3	0	0	1	1.4	2.5	2.3	1.4	785.5	53.1	0.8	26.8	1.4	0	21.2	8.3	135	7.6	6.4	7.3	17.7	7	0	7.5	31.3	2.4	12.6	8.4	16.8	0	0	0.2	1.3	0.5	13.2	13.5	1	0.2	0.1	2.7	2.4	13	2.1	16.8	6.1	5.2	1.8	34.3	2.4	22.2	1832
18. Primary Metal Manufacturing	0.3	0	0	0	0.9	0	0.1	0	15.9	12.2	0.1	0.7	1.2	0	0.5	0.4	2.4	56.6	67	28.2	16.3	15.9	76.6	6.4	46.4	5.1	9.3	4.7	1.8	0	0	0	2.8	0.1	1.2	0.3	0.5	0	0	1.1	0.2	1.1	0.2	0.4	0	0.3	0.4	0.7	0.2	1.7	1484.9
19. Fabricated Metals Manufacturing	1.9	1.1	0.1	4	2	1.3	1.8	0.2	240	34.6	0.8	13.8	11.4	1.6	5.6	10.9	5.9	4.8	42.2	32.5	27.6	7	110.6	11.2	57.7	5.7	16.8	8.5	14.3	5.4	21.4	4.5	12.6	2.1	8.8	13.8	6.2	0.2	0.1	1.9	2	7.7	1	1.2	0.8	2.1	1.4	16	1.8	18.7	2595.3
20. Machinery Manufacturing	6.1	0.9	2.9	2.8	2.3	14.4	2.1	0	117.8	6.3	0.1	3.6	4.7	2.9	1.4	5.1	1.1	4.1	6	40.5	4	1.9	11.4	22.4	30.1	0.2	5	11.6	6.5	0.2	0.2	0.6	9.5	1.9	2.7	0.9	3.3	0	0	2.5	1.1	5.8	3.9	0.5	0.3	0.4	0.4	3	1.6	23.9	2214.9
21. Computer and Electronic Product Manufacturing	0.1	0	0	0	0	0.3	0.2	1.2	11.9	4.1	0.6	2.9	5.9	1.6	2.1	5.1	2.4	2.7	3.9	5.4	146.5	3.9	110.1	2.8	18.4	1.2	5.9	15.5	9.2	0.1	0	0.3	0.6	0.4	33.2	25.9	6	4.7	0.7	0.3	8.3	9.8	1.4	5.1	3	0.7	1.4	2	3.8	10	6432.7
22. Electrical Equipment Manufacturing	0.4	0.1	0	3	0	0.1	0.4	0.1	39.1	0.9	0	1.2	0.3	0.1	0.5	0.5	0.1	0.8	0.9	4.1	4.6	3.9	3.9	0.6	2.4	0	1.1	1.3	1.6	0	0	0.2	0.7	0.3	1	3.8	0	0.1	0	0.2	0.7	1.8	0.3	0	0.1	0.3	0.2	1.7	0.7	4.2	964.4
23. Aircraft and Parts Manufacturing	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	651.1	0	0	0	0	0.3	0.7	7.2	0	0	0.5	0.3	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	38012.6
24. Ship and Boat Building 	0	0	0	7.7	0	0	0	0	0		0	0	0	0		0	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	17	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1799.9
25. Other Transportation Equipment Manufacturing	0.3	0.1	0.2	0.5	0.1	0	0.1	0	4.9	0.5	0	0.5	0.2	0	0.2	0.1	0.1	0.1	0.2	1.1	0.3	0.1	0.5	1.7	6.5	0	0.1	2.6	15.3	0	0	2.4	3.3	0.7	0.1	0.2	0.2	0.1	0	0.2	0.2	0.4	0.1	0.1	0	0.4	0.1	0.4	0.6	9.7	1931.2
26. Furniture Product Manufacturing	0.3	0	0	0	0	0	0.2	0	252.2	0	0	10.6	0	0	0	0	0	0	0.2	1.2	7.8	0	1.8	0.3	1.3	18.9	3.8	4.1	11.2	0.1	0.1	0	0	0.1	6.7	1.9	0	0	0	1.3	0.3	1	0	1.8	1.2	1	3.5	9	0	3.7	939.3
27. Other Manufacturing	1.7	0.3	0	0.7	0.4	0.2	0.3	0	40.2	16	0.6	2.3	4.1	1.1	0.9	6.2	1.2	0.3	1.3	4.6	5.7	2.3	40.8	1.8	14.5	3.2	18.9	11.2	12.7	0	0	2	1.7	0.7	2.1	2.8	0.8	0.3	0.3	0.9	1	3.3	1.3	19.2	9.2	4.9	0.8	7.5	1.5	16.5	3661.4
28. Wholesale	140.6	48	40.4	41.5	7.5	30.9	4.9	2.7	770.3	517.6	32.3	194	269.1	51.6	202.6	210.4	57	88.5	91.9	107.4	404.7	55	193	44.1	75	41.3	125	605.3	381.5	42	6.8	51.2	75.7	15.8	217.6	58	44.2	19.6	10.3	99.1	43.2	54.5	34	164.4	92.3	55.4	22.5	224.2	21.9	228.9	21314
29. Retail	7.1	1.2	0.2	2.1	1.9	1.9	0.3	1.1	2014.7	16.8	0.7	7.7	1.6	1.6	32	31.6	1.3	0.1	1.7	8.9	6.7	2.5	65.4	37.2	36	12.6	8.5	27.7	96	0.5	0	36.1	22.7	4.5	9.8	0.8	2.8	14.6	1.4	7.6	4.3	7.1	0.6	28.3	26	5.8	5.3	50.3	9	243.1	28774.5
30. Air Transportation	2.3	0.5	0	0.1	0.2	5.6	0.7	0.3	21.2	11	0.7	5.2	4.9	3.1	3.4	4.4	2.1	1.5	4.1	2.2	5.8	0.5	0.1	1.9	3.4	1.5	5.3	21.5	9.7	0.2	2.6	6.3	3.5	4.3	58.5	11.1	11.4	30	8.9	9.1	15.1	27.5	4	12.1	1.4	4.2	4.5	9.1	16.6	27.6	4093.6
31. Water Transportation	5.9	1.6	0.1	0.7	0.2	4.5	0	0	8.1	12.5	0	0.1	1.1	0	5.6	1.5	0.9	1.7	0.6	0.1	0.2	0.1	0	0	0.3	0	0.2	0.6	0.4	3.1	0	1.2	2.4	0.2	0	0.2	0	0	0	0.1	0.7	29.9	0	0.1	0.3	0.1	0.1	0.5	0.9	0.3	1782.2
32. Truck Transportation	22.5	10.9	6.2	12.6	2.4	17.9	0.9	0.9	155.9	96.9	4.3	37.9	32.7	4.3	18.1	20	27.4	10.7	9.4	7.8	11.8	3.1	4.5	3	19.5	5.4	15.1	27.7	77.1	4.6	5.2	68.8	12.2	7.5	9	5.1	9.6	0.9	1.8	2.9	10.5	6.2	3.3	13.2	8.2	5.6	6.7	18.8	4.2	40.9	3201.5
33. Other Transportation/Postal Offices	16.6	7.3	2.7	2.3	4.8	2.2	133.4	1.5	55.5	72.3	1.1	32.9	52	4.9	166	30	20.5	20.9	8.1	3.7	5.6	2.2	15.6	2.4	11.7	3.5	17.4	291.4	199.1	10.6	72	210	84.9	124.2	127	14.3	65.8	36.2	27.9	26.2	45.7	43.8	13.2	33.2	11.4	14.7	23.1	20.5	38	105.2	4819.3
"34. Support Activities for Storage, Transportation and Warehousing "	7.6	0.9	0	4.7	0.2	4.2	0.3	0	2.6	8.1	0.7	9.8	6.4	3.1	5.9	2.7	4.1	1.1	3.1	2.2	7.3	0.7	1	1.4	2.6	1.9	4.8	116.3	160.9	169.4	94.7	48.6	38.2	65.6	31.2	3.4	16.4	0.1	5.5	4.6	7.8	7.8	1	5.5	3.9	2.9	5.4	4	7.1	23.7	2709
35. Software Publishers & Internet Service Providers	0.3	0	0.1	0.1	0.1	6	0.2	0.1	11.5	4.6	0.4	3.9	3.1	1.1	1	1.5	1.5	0.7	2.5	2	63.9	0.7	64.3	2.9	3.4	1.4	2.8	9.6	25.4	1.4	0.4	0.6	1.8	0.9	61.2	18.3	3.6	14.6	23.1	2.2	20.1	14.4	3.2	3.3	4.2	1.6	2.6	6.1	14.3	18.3	23147.6
36. Telecommunications	5.4	1.1	1.3	0.3	1.6	7.6	1.2	8.7	220.6	15.7	1.7	12.3	9.3	6.5	7.4	7.7	5.8	2.3	11.3	7.9	25	1.8	43.7	3.8	4.3	5.5	14.2	159.3	184.4	57.5	10	29.8	36.6	19.4	523	1701.8	57	87.1	163.9	71.9	197.5	127.9	35	114.8	30.1	42.3	34.8	52.2	117.2	187.7	11705.3
37. Other Information	1.4	0.3	0	0	0	2.6	0.1	0.6	0.5	0.2	0	0	0	0.8	0	0.2	0.2	0.1	0.5	0.2	1.3	0.2	1	13.8	0	0.1	1	9.4	59.1	1.2	0.7	0.8	0.8	5.1	131.1	653.7	1113.2	21.9	20.1	10.2	124.3	45.5	73.3	26.5	5.1	86.8	26.3	47.4	39.4	183.1	6281.6
38. Credit Intermediation and Related Activities	357.1	59.1	16.6	27.5	9.3	193.5	51.4	41.7	511.9	88.4	5.8	30	24.7	17.7	37.1	16.4	24.7	11	33.9	17.8	17.5	3.6	2.3	21.2	11.9	12.5	51.2	351.1	796.8	32.9	5.9	46.9	209.1	24.1	471	243	112.6	2647.3	579.6	702.5	314.5	202.6	35.9	193	17.4	54.1	68.2	95.5	130.7	1204.5	16555.7
39. Other Finance and Insurance	0	3.1	1.7	12.1	4.8	12.4	2.3	1.5	82.6	8.2	0.6	3	2.6	3.1	4.9	1.5	2.5	7.6	19.9	12.9	11.2	3.3	160.1	12.1	10.4	7.5	12.8	166.5	267.7	50	60.3	91.5	94.5	28.6	105.6	13.6	31.8	956.4	2635	138.2	128	110.3	18.5	209	111.9	137	73.4	79	75.1	727.2	13285.1
40. Real Estate and Rental and Leasing	216.3	24.2	4.3	2.7	25.3	21.9	3	7.7	262.6	65.4	4.3	23.4	27.7	14.7	19.1	34.1	12.2	5.1	25.5	15.7	59.5	5.2	30.6	0	13.2	7.5	30.1	248.3	726.1	116	40.6	24.9	80.4	51.2	503.5	131.4	96.3	82.6	161.9	348.9	252.1	171.3	145	222.8	286.7	149.7	92.4	218.1	88.7	417.3	15943.9
41. Legal /Accounting and Bookkeeping /Management Services	7.1	2.3	1.7	7.7	10.4	61.8	4.5	13.5	136.5	193.9	8.6	39.9	56.4	15.8	55.8	129.6	25.6	14.4	31.2	34.3	149	13.8	246.3	24.7	65.1	12	49.6	367.8	381.2	20.8	16	25.5	61.6	23.4	415.5	130.9	115.4	176.6	159.5	99.3	246.1	168.7	19.3	152.7	85	57.9	112.8	148.5	97.4	223.5	12094.3
"42.  Architectural, Engineering, and Computing Services"	2.6	0.2	3.1	1.6	4.3	13.1	2.3	10.7	354.4	18.9	2.6	8	7.8	5.2	14.9	41.4	4	3.1	7.8	5.4	50.5	1.6	167.3	7.7	7.5	2.4	7.5	44.1	33.8	3	0.9	2.9	13.8	3.5	87.3	71.5	13.5	18.9	23	24.9	49.6	106.3	19.6	11.5	6.3	5.2	5.2	7	16.9	27.3	11148.5
43. Educational Services	1.2	0.2	0	7.1	0	0.1	0.1	0	0.1	0	0	0	0	0.1	0	0	0	0	0	0	0	0	188	0	0	0	0	1	5.5	0.1	0	0	0.1	0	0.5	0.9	0	0.2	0	0	0	0.2	1.5	0.1	0.2	0	0.6	0	0.2	6.1	3116.1
44. Ambulatory Health Care Services	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0.2	0	224	126.7	0.4	1	0	0.3	2.5	11913.7
45. Hospitals	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5	0	0	0	0	0	6498.1
"46. Nursing and Residential Care Facilities, Social Assistance"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5206.1
"47. Arts, Recreation, and Accommodation"	1.6	0.5	2.3	0	0.3	13.3	1.6	0.8	41.8	15.2	0.9	12.5	9	6.7	9.2	4.2	4.6	2	8.6	4.6	7.6	0.7	3.7	4.2	3.7	3.4	12	36.5	43.2	0.5	0.2	0.6	10.2	9.1	190.1	80	159.2	121.5	30.1	33.9	89.4	93.2	13.2	35.6	3	14.6	150.1	50.4	52.6	119	5311.7
48. Food Services and Drinking Places	0.4	0.1	0	0	0	15.3	0.3	0.2	6.6	2.9	0.2	2.2	1.7	1	2.7	0.8	0.8	0.4	1.4	0.8	1.2	0.1	0.7	0.7	0.6	0.5	2	8.3	14.1	19.7	0.1	0.4	1	0.7	26.3	5.1	2.9	24.2	3.9	7.5	14.8	23.5	2.8	14.1	3.5	7.8	7.6	7.7	11.3	16.7	8516.9
49. Administrative/Employment Support Services	6.1	1	1.7	1.6	1.9	31.3	4.2	6.2	186.7	52.3	9.2	20.7	25.8	19.3	29.3	22.6	12.8	15.4	27.3	13.5	42.8	4	92.7	14.9	11.6	5.2	20	348.9	408.3	64.6	30	134.1	121	82.2	870.4	131.1	93.4	148	195.6	218.8	187.3	370.2	49.3	273.7	131.9	116.8	96.9	64.1	197	355.3	6855.1
"50. Waste Management/Other, and Agriculture Services"	657.2	44.3	137.4	13	2.8	21	9.5	30.1	851.3	110.7	6.4	54.3	83.5	17.9	82.8	61.7	34.6	31	37.4	19.6	41.4	6.5	38.2	17.2	26.7	15.2	45.6	293.5	417.3	10.3	54.7	66.9	104.7	101.3	393.6	231.1	68.5	319.5	122	412	223.5	186.5	79.7	200.7	137.7	91.2	141.7	190.7	168.2	809.8	19166.9
